,recType,t_secs,t_nsecs,fe,ps,beta
0,FE_MAX,1674487728,651526999,-66.56403616654856,45.37457205835058,11.494744682188346
1,FE_MIN,1674487734,951513079,142.56259055661312,21.830305098968335,-30.283508798139767
2,PS_MAX,1674487738,671505657,-130.66328602839292,-85.81030091197027,-13.564767092909351
3,PS_MIN,1674487742,91549409,-114.06911414050913,70.21908222952774,13.858579606674386
4,FE_MAX,1674487811,531511363,-68.80884973176866,33.88648139310086,11.811704242702382
5,FE_MIN,1674487814,711716360,126.78474198635247,-7.417830500860947,-41.17329334326022
6,PS_MAX,1674487818,771499875,-128.56245299210335,-86.10598891149512,-24.128595444731097
7,PS_MIN,1674487822,91517730,-110.86405187378864,81.93128459573249,-2.104156700583158
8,FE_MAX,1674487879,231553900,-74.37969147522469,39.96521317502744,6.805307257384304
9,FE_MIN,1674487882,591519969,116.92309518409259,-4.999395996012211,-39.57871111672225
10,PS_MAX,1674487886,511699889,-142.5449008426003,-88.03763048691492,-22.11344428968149
11,PS_MIN,1674487890,531496747,-127.26607031404325,76.2421055014713,5.263610470509988
12,FE_MAX,1674488003,471480287,-61.83369870537965,31.352300988861966,2.1225250155789106
13,FE_MIN,1674488007,132309117,135.32512253086094,-0.4149699609462734,-35.51484750804929
14,PS_MAX,1674488011,31526518,-130.98894025612867,-113.2753472783163,-20.21924640794017
15,PS_MIN,1674488014,991471559,-112.53210747685436,67.28502046172743,14.5145033337711
16,FE_MAX,1674488115,31523896,-116.59625649566215,36.49967860415248,-17.931902175338223
17,FE_MIN,1674488118,651523347,66.93376421975591,-34.04417532109009,-16.94029494078525
18,PS_MAX,1674488122,291753865,169.7482066391431,-103.92899510795368,-37.90419121635515
19,PS_MIN,1674488125,911643991,-154.64647417514124,74.6083064974094,-13.41567850586212
20,FE_MAX,1674488218,871496169,-145.94469149735244,22.781406499522348,-36.25763113722605
21,FE_MIN,1674488223,271531600,59.671853468015364,-10.547725545597036,3.308968757426249
22,PS_MAX,1674488227,651499826,125.6810691049019,-125.3765115865491,-19.864268607685474
23,PS_MIN,1674488230,611498838,158.79379241546886,58.32206238867855,-17.569233533627752
24,FE_MAX,1674488355,691522712,-153.18501445266722,26.621358993095132,-31.922825439046495
25,FE_MIN,1674488358,991473195,50.27077498289047,-23.559448527491394,5.6777875481513425
26,PS_MAX,1674488362,451921483,125.0303452322592,-137.2776270352085,-16.843381244794642
27,PS_MIN,1674488365,771501294,157.47666596740464,41.72670476810829,-21.61704357458071
28,FE_MAX,1674488402,331659413,-168.24441035791716,34.11086921479788,-22.37885447129283
29,FE_MIN,1674488405,371738413,34.839065933289405,-18.937006166262393,-5.096790086991905
30,PS_MAX,1674488409,411695042,112.76034522040464,-115.70189742909172,-30.958369250499228
31,PS_MIN,1674488413,91520316,143.01699435654106,72.72627682671498,-23.049602111902363
