,recType,t_secs,t_nsecs,fe,ps,beta
0,FE_MAX,1674663174,840931946,148.42009665263225,33.27438047385854,17.015487181769334
1,FE_MIN,1674663178,180936344,0.34824634783018626,-8.644032493589123,-1.1133140451440378
2,PS_MAX,1674663181,321004328,115.96758911162688,-79.21302973205383,40.24807852372204
3,PS_MIN,1674663184,40971555,114.0810912080857,63.01486259276409,33.66601547692207
4,FE_MAX,1674663187,640925793,157.25702114841562,28.951204053345936,17.702218488246917
5,FE_MIN,1674663191,260885350,3.3815904551137956,-15.082580392941109,2.7206079986861345
6,PS_MAX,1674663195,940948299,114.57272418463488,-77.23522095838563,38.86822660910661
7,PS_MIN,1674663202,360896748,121.40497733985048,65.09446916074019,30.600774261558797
8,FE_MAX,1674663257,180912542,149.26999695538316,27.949910581069958,29.087893845101835
9,FE_MIN,1674663260,872415,-7.496157030408312,-12.43216059267877,-0.7195836140608299
10,PS_MAX,1674663263,200868461,103.05439694128798,-81.61776284854079,41.950340581923
11,PS_MIN,1674663265,740958638,103.70009158206754,58.82762538063754,36.42025932052077
12,FE_MAX,1674663269,560892605,149.87917382483664,26.02965725772318,23.787700456458307
13,FE_MIN,1674663272,300924037,-9.418999232840417,-11.28511601924741,2.1233041107974993
14,PS_MAX,1674663275,60920125,110.63482726609345,-78.10111046524386,41.37790938514421
15,PS_MIN,1674663277,460890715,112.47986407805239,62.65567891487716,36.64257125818601
16,FE_MAX,1674663319,600990182,137.52018875695177,42.12973826948993,2.8902752511435166
17,FE_MIN,1674663322,741035507,-23.22753161269007,-13.013924457601735,9.663765045126869
18,PS_MAX,1674663326,101168854,91.19014906695051,-66.05241345279029,45.55278482125521
19,PS_MIN,1674663328,840884272,83.99757828888195,67.62306937460572,37.084536028585944
20,FE_MAX,1674663334,221204857,131.97027298854223,43.18941778102745,7.216319344588974
21,FE_MIN,1674663337,281048371,-28.708135812928514,-10.941468644422915,11.23812627303153
22,PS_MAX,1674663340,480915610,96.20877813600765,-64.78835333419067,43.87344599847518
23,PS_MIN,1674663343,360909973,84.87392442051625,71.35627940543355,38.333765096748934
24,FE_MAX,1674663381,120889139,121.08865043239292,45.810895575711825,3.7499835556001573
25,FE_MIN,1674663384,141728200,-33.28490740519697,-12.257778484963179,19.36195820013068
26,PS_MAX,1674663387,160867629,85.1491463501223,-61.198838471874645,41.521645426275555
27,PS_MIN,1674663389,940949170,83.20828369850219,77.61686170193838,33.28569090696003
28,FE_MAX,1674663444,780943591,110.58021241903077,49.60496760912519,0.5860851249778753
29,FE_MIN,1674663448,241105294,-49.059023429605304,-14.264223529941505,28.28429994558845
30,PS_MAX,1674663451,641012829,74.5992396755127,-53.7065129272024,44.99749315805793
31,PS_MIN,1674663454,401142928,63.56678875945775,80.55200382495758,35.84699268971894
32,FE_MAX,1674663458,981019311,102.55336431984769,51.1175599362184,-3.9283618762833044
33,FE_MIN,1674663462,161007540,-53.65725058262713,-20.323955910313916,26.295725311564237
34,PS_MAX,1674663465,261055984,82.65990239574568,-44.52821846264928,47.60232236587456
35,PS_MIN,1674663468,480901142,62.06626441448172,82.01403091583936,33.437564819483406
36,FE_MAX,1674663501,701145787,90.16380818955044,68.37121532459969,0.14909873635061852
37,FE_MIN,1674663504,360944680,-69.54945125169809,-12.438287733449892,31.849805495884738
38,PS_MAX,1674663507,460939197,65.97490696135411,-44.57457881625679,48.593430413080924
39,PS_MIN,1674663510,340959617,49.61197334602348,85.15680203005066,39.886196007477494
40,FE_MAX,1674663518,680958399,84.57838191233279,60.957027069198745,-5.302680644022248
41,FE_MIN,1674663521,661083380,-76.98241425430213,-19.474073824267286,39.71543602851058
42,PS_MAX,1674663525,540948382,54.467245837628326,-45.67193024958242,48.31216206812488
43,PS_MIN,1674663528,580919632,31.201229708058648,82.3139781635113,38.902605211208666
44,FE_MAX,1674663551,781039686,75.66258859332484,70.60704783927234,-2.2254626056318494
45,FE_MIN,1674663554,680899032,-92.41206245838198,-27.543935507064653,34.4237819069638
46,PS_MAX,1674663557,781068994,46.663776558662526,-44.21666510812998,55.091215395518766
47,PS_MIN,1674663560,401065664,36.661539009850735,88.94277254782952,46.37221414479186
48,FE_MAX,1674663563,100987412,79.88170550809144,66.15538962958036,-4.415528993720908
49,FE_MIN,1674663565,960862688,-89.17252390711829,-27.87674299551877,36.501335055272804
50,PS_MAX,1674663571,101170739,57.853406771073786,-36.52241600117423,43.543717474301765
51,PS_MIN,1674663574,600907852,50.058306323854744,90.69947635988228,35.700671256256115
52,FE_MAX,1674663616,201086589,71.07078427468664,77.1547043417839,-14.037669921458926
53,FE_MIN,1674663619,120963330,-91.07804447254127,-26.039493097225694,48.61776848288535
54,PS_MAX,1674663622,260872218,56.41348224856781,-32.02082599523585,37.492868320018275
55,PS_MIN,1674663625,180960965,47.47225119640975,100.88455528561862,30.416481735156065
56,FE_MAX,1674663636,360861685,71.41162431946081,77.73383623023896,-11.609368111201848
57,FE_MIN,1674663639,501028704,-87.01897839806367,-17.040610532062928,53.44143459196545
58,PS_MAX,1674663642,480998845,54.23236893742958,-35.55189652333726,40.04586423343215
59,PS_MIN,1674663645,140884157,36.23468188089034,97.21438593070307,34.82372536834395
60,FE_MAX,1674663668,521070930,64.13870529075074,81.27604401467552,-12.40024704051842
61,FE_MIN,1674663671,81056970,-103.56535602255909,-22.157826879282357,43.53881320770653
62,PS_MAX,1674663673,801003344,43.24144632085992,-35.43436729397259,49.09620671055294
63,PS_MIN,1674663676,401175430,32.69586282025042,97.11153838365972,34.10916418325101
64,FE_MAX,1674663679,801007629,70.9580702116824,71.8212046743798,-10.839816640858928
65,FE_MIN,1674663682,740902961,-101.15763684513793,-30.9669648717385,46.358007972969176
66,PS_MAX,1674663685,720955219,56.42629332535413,-25.40438465919558,43.63742307511351
67,PS_MIN,1674663688,380910108,44.35133267654381,102.26142550054779,35.549058282151535
68,FE_MAX,1674663735,840867941,63.722710206838165,83.53172965678982,-7.284248619612052
69,FE_MIN,1674663738,620903906,-108.9095113477334,-29.895974732464182,41.83852708899554
70,PS_MAX,1674663741,481275508,43.974831258965,-33.08786268362056,54.92141421623788
71,PS_MIN,1674663744,141048084,28.821336897684162,97.15170511877213,48.21436425163917
72,FE_MAX,1674663746,941239749,67.51717065417131,73.8282197988226,-7.026902325171844
73,FE_MIN,1674663749,620980353,-109.1051425124923,-36.30193591846424,34.71567562690685
74,PS_MAX,1674663753,680916724,48.89774311641961,-34.51682195584782,43.51754957714369
75,PS_MIN,1674663756,500903177,41.34369321864163,104.66162909275712,36.16306867444601
76,FE_MAX,1674663799,561154722,56.29361461974287,80.70430216456238,-12.858787485806921
77,FE_MIN,1674663802,340899821,-116.03009512445864,-39.88623608236026,39.36292672843353
78,PS_MAX,1674663805,240906591,29.335265895090775,-39.99213478908927,55.40466317162909
79,PS_MIN,1674663808,20962209,20.44941062816043,94.02233917009575,42.96155500352676
80,FE_MAX,1674663810,861073963,59.90542425211861,76.20572523448081,-8.040869084035158
81,FE_MIN,1674663813,460944924,-116.39591859500251,-35.8230440065135,37.9115370227577
82,PS_MAX,1674663816,300986005,28.328909136302926,-42.77768927237524,52.04799615162237
83,PS_MIN,1674663818,720896893,20.2850640377026,94.04192939177192,42.6383267478266
