,recType,t_secs,t_nsecs,fe,ps,beta
0,FE_MAX,1674801508,236769070,108.06367913135917,11.398836533650963,-21.450056178451803
1,FE_MIN,1674801510,716818260,-20.530364353791832,4.508981094634583,30.917367947497002
2,PS_MAX,1674801513,516779011,64.95070172773153,-109.97825243698097,-29.63166067614097
3,PS_MIN,1674801515,696897592,71.72599116354192,32.05860197890459,4.223283259868497
4,FE_MAX,1674801518,456765673,112.62521387378858,10.00025672361623,-25.033542406411105
5,FE_MIN,1674801520,696778163,-14.595815924607582,2.4050532004391867,25.1731491696815
6,PS_MAX,1674801523,296832018,58.802523542928974,-112.55790034423306,-29.0988969476487
7,PS_MIN,1674801525,536795842,71.37388816599734,35.039045135746036,7.616490300678419
8,FE_MAX,1674801606,196842485,109.60264858331344,1.039863395861972,-27.3845723830063
9,FE_MIN,1674801608,536809105,-16.087435496787354,13.111790199498566,28.45353544069334
10,PS_MAX,1674801611,96844942,56.489756971507596,-116.36385952654193,-16.30474154615652
11,PS_MIN,1674801613,216809972,71.03408243833456,33.362694487395835,15.698142473501507
12,FE_MAX,1674801617,376803233,111.50964558472658,3.9515606683289337,-25.08254467576083
13,FE_MIN,1674801619,676872159,-30.274551695488686,13.38177231761234,30.883977466599763
14,PS_MAX,1674801622,236738868,51.351844112689214,-121.34117892569361,-18.819406602903776
15,PS_MIN,1674801624,816888769,68.14199091366508,33.986399055271335,13.975807825728669
16,FE_MAX,1674801676,996807348,141.50915864779023,-7.705628368057476,-25.092003450120707
17,FE_MIN,1674801679,416768304,5.449503509421652,-5.5651007414626505,32.56372704796638
18,PS_MAX,1674801682,16789093,84.90835301792292,-124.55776162682534,-19.729865923918005
19,PS_MIN,1674801684,216969387,93.50357085920955,17.128124534703467,10.856553423039392
20,FE_MAX,1674801686,716784045,139.71666726745713,-5.6258172044404064,-28.433318908244676
21,FE_MIN,1674801689,256772261,8.33493047106671,-5.613973984103753,28.14049508003332
22,PS_MAX,1674801691,756786615,79.82475119784888,-127.71829142850112,-19.439176786430778
